OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
2,                    0.822578823, 10000000,             1,                    45                   
2,                    0.755255428, 5000000,              2,                    45                   
2,                    0.74802701, 2500000,              4,                    45                   
2,                    0.73041165, 1250000,              8,                    45                   
2,                    0.724940377, 625000,               16,                   45                   
2,                    0.756935749, 312500,               32,                   45  
