OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,                    0.8284041, 10000000,             1,                    45                   
1,                    0.813093505, 5000000,              2,                    45                   
1,                    0.79651572, 2500000,              4,                    45                   
1,                    0.802243905, 1250000,              8,                    45                   
1,                    0.893845585, 625000,               16,                   45                    
