OS_Threads,Execution_Time_sec,Grid_Points,Time_Steps
1,                    0.012359984000, 100,                  45                   
1,                    0.053694359000, 500,                  45                   
1,                    0.091362972000, 1000,                 45                   
1,                    0.345525411000, 5000,                 45                   
1,                    0.764977033000, 10000,                45                   
1,                    3.744546807000, 50000,                45                   
1,                    7.485173939000, 100000,               45                   
1,                    36.734829632000, 500000,               45                   
1,                    100.792579656000, 1000000,              45  
