Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     2,     1.79645222, 10000000,             1,                    45                   
1,     2,     0.992832989, 5000000,              2,                    45                   
1,     2,     1.106749488, 2500000,              4,                    45                   
1,     2,     1.091484411, 1250000,              8,                    45                   
1,     2,     1.037057754, 625000,               16,                   45                   
1,     2,     1.063131178, 312500,               32,                   45                   
