OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
4,                    2.067283653, 25000000,             1,                    45                   
4,                    3.628510293, 25000000,             2,                    45                   
4,                    7.019211791, 25000000,             4,                    45                   
4,                    13.800824046, 25000000,             8,                    45                   
4,                    29.515138453, 25000000,             16,                   45  
