OS_Threads,Execution_Time_sec,Grid_Points,Time_Steps
2,                    0.006407024000, 100,                  45                   
2,                    0.027985356000, 500,                  45                   
2,                    0.063671026000, 1000,                 45                   
2,                    0.299985933000, 5000,                 45                   
2,                    0.746755756000, 10000,                45                   
2,                    3.943365004000, 50000,                45                   
2,                    7.668303308000, 100000,               45                   
2,                    39.878358673000, 500000,               45   
2,                    66.048587005000, 1000000,                    
