Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     40,    0.661099398, 1000000,              10,                   45                   
2,     80,    0.416124445, 1000000,              10,                   45                   
5,     200,   0.371396892, 1000000,              10,                   45  
