Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     1,     0.068620125, 250000,               1,                    45                   
1,     1,     0.119281468, 250000,               2,                    45                   
1,     1,     0.161564966, 250000,               3,                    45                   
1,     1,     0.201848991, 250000,               4,                    45                   
1,     1,     0.240851603, 250000,               5,                    45                   
1,     1,     0.284424774, 250000,               6,                    45                   
1,     1,     0.33044139, 250000,                7,                    45                   
1,     1,     0.468011048, 250000,               8,                    45                   
1,     1,     0.421076615, 250000,               9,                    45                   
1,     1,     0.440652431, 250000,               10,                   45  
1,     1,     0.517023548, 250000,               11,                   45                   
1,     1,     0.548652245, 250000,               12,                   45                   
1,     1,     0.594739436, 250000,               13,                   45                   
1,     1,     0.639566072, 250000,               14,                   45                   
1,     1,     0.673095173, 250000,               15,                   45     
