OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
2,                    1.986847518, 25000000,             1,                    45                   
2,                    3.612328461, 25000000,             2,                    45                   
2,                    6.988923589, 25000000,             4,                    45                   
2,                    13.920615403, 25000000,            8,                    45                   
2,                    29.117629275, 25000000,            16,                   45 
