Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     1,     1.67338581, 10000000,             1,                    45                   
1,     1,     1.694158782, 5000000,              2,                    45                   
1,     1,     1.745559261, 2500000,              4,                    45                   
1,     1,     1.705064306, 1250000,              8,                    45                   
1,     1,     1.717038703, 625000,               16,                   45                   
1,     1,     1.864091624, 312500,               32,                   45 
