Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     2,     0.065918136, 250000,               1,                    45                   
1,     2,     0.068731567, 250000,               2,                    45                   
1,     2,     0.114446734, 250000,               3,                    45                   
1,     2,     0.142832248, 250000,               4,                    45                   
1,     2,     0.164035307, 250000,               5,                    45                   
1,     2,     0.197534388, 250000,               6,                    45                   
1,     2,     0.226024384, 250000,               7,                    45                   
1,     2,     0.253091641, 250000,               8,                    45                   
1,     2,     0.271807873, 250000,               9,                    45                   
1,     2,     0.309160702, 250000,               10,                   45  
1,     2,     0.318392095, 250000,               11,                   45                   
1,     2,     0.355133845, 250000,               12,                   45                   
1,     2,     0.386862634, 250000,               14,                   45                   
1,     2,     0.397728015, 250000,               15,                   45                   
