OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,                    1.956901544, 25000000,             1,                    45 
1,                    7.841481075, 25000000,             4,                    45                   
1,                    16.385305558, 25000000,            8,                    45                   
1,                    23.642328211, 25000000,             12,                   45                   
1,                    31.831223371, 25000000,             16,                   45  
